Key,Half Life,Penetration,Effective Frequency,Retention Rate,Raw GRPs(A),Raw GRPs(B),Raw GRPs(C),Raw GRPs(D),Adstock(A),Adstock(B),Adstock(C),Adstock(D),Scale,Shape
0.3_10_1,0.3,10,1,10%,0,0.900787434,0.900787434,1.801574869,0,1,1,2,11.94283922,0.967780069
0.4_10_1,0.4,10,1,18%,0,0.823223305,0.823223305,1.646446609,0,1,1,2,11.94283922,0.967780069
0.6_10_1,0.6,10,1,31%,0,0.685019738,0.685019738,1.370039475,0,1,1,2,11.94283922,0.967780069
0.8_10_1,0.8,10,1,42%,0,0.579551792,0.579551792,1.159103585,0,1,1,2,11.94283922,0.967780069
1_10_1,1,10,1,50%,0,0.5,0.5,1,0,1,1,2,11.94283922,0.967780069
2_10_1,2,10,1,71%,0,0.292893219,0.292893219,0.585786438,0,1,1,2,11.94283922,0.967780069
3_10_1,3,10,1,79%,0,0.206299474,0.206299474,0.412598948,0,1,1,2,11.94283922,0.967780069
4_10_1,4,10,1,84%,0,0.159103585,0.159103585,0.318207169,0,1,1,2,11.94283922,0.967780069
5_10_1,5,10,1,87%,0,0.129449437,0.129449437,0.258898873,0,1,1,2,11.94283922,0.967780069
6_10_1,6,10,1,89%,0,0.109101282,0.109101282,0.218202564,0,1,1,2,11.94283922,0.967780069
7_10_1,7,10,1,91%,0,0.094276336,0.094276336,0.188552671,0,1,1,2,11.94283922,0.967780069
8_10_1,8,10,1,92%,0,0.082995957,0.082995957,0.165991914,0,1,1,2,11.94283922,0.967780069
9_10_1,9,10,1,93%,0,0.074125288,0.074125288,0.148250575,0,1,1,2,11.94283922,0.967780069
10_10_1,10,10,1,93%,0,0.066967008,0.066967008,0.133934017,0,1,1,2,11.94283922,0.967780069
11_10_1,11,10,1,94%,0,0.061069089,0.061069089,0.122138179,0,1,1,2,11.94283922,0.967780069
12_10_1,12,10,1,94%,0,0.056125687,0.056125687,0.112251375,0,1,1,2,11.94283922,0.967780069
0.3_11_1,0.3,11,1,10%,0,0.900787434,0.900787434,1.801574869,0,1,1,2,13.20292576,0.960200061
0.4_11_1,0.4,11,1,18%,0,0.823223305,0.823223305,1.646446609,0,1,1,2,13.20292576,0.960200061
0.6_11_1,0.6,11,1,31%,0,0.685019738,0.685019738,1.370039475,0,1,1,2,13.20292576,0.960200061
0.8_11_1,0.8,11,1,42%,0,0.579551792,0.579551792,1.159103585,0,1,1,2,13.20292576,0.960200061
1_11_1,1,11,1,50%,0,0.5,0.5,1,0,1,1,2,13.20292576,0.960200061
2_11_1,2,11,1,71%,0,0.292893219,0.292893219,0.585786438,0,1,1,2,13.20292576,0.960200061
3_11_1,3,11,1,79%,0,0.206299474,0.206299474,0.412598948,0,1,1,2,13.20292576,0.960200061
4_11_1,4,11,1,84%,0,0.159103585,0.159103585,0.318207169,0,1,1,2,13.20292576,0.960200061
5_11_1,5,11,1,87%,0,0.129449437,0.129449437,0.258898873,0,1,1,2,13.20292576,0.960200061
6_11_1,6,11,1,89%,0,0.109101282,0.109101282,0.218202564,0,1,1,2,13.20292576,0.960200061
7_11_1,7,11,1,91%,0,0.094276336,0.094276336,0.188552671,0,1,1,2,13.20292576,0.960200061
8_11_1,8,11,1,92%,0,0.082995957,0.082995957,0.165991914,0,1,1,2,13.20292576,0.960200061
9_11_1,9,11,1,93%,0,0.074125288,0.074125288,0.148250575,0,1,1,2,13.20292576,0.960200061
10_11_1,10,11,1,93%,0,0.066967008,0.066967008,0.133934017,0,1,1,2,13.20292576,0.960200061
11_11_1,11,11,1,94%,0,0.061069089,0.061069089,0.122138179,0,1,1,2,13.20292576,0.960200061
12_11_1,12,11,1,94%,0,0.056125687,0.056125687,0.112251375,0,1,1,2,13.20292576,0.960200061
0.3_12_1,0.3,12,1,10%,0,0.900787434,0.900787434,1.801574869,0,1,1,2,14.11272238,0.959053169
0.4_12_1,0.4,12,1,18%,0,0.823223305,0.823223305,1.646446609,0,1,1,2,14.11272238,0.959053169
0.6_12_1,0.6,12,1,31%,0,0.685019738,0.685019738,1.370039475,0,1,1,2,14.11272238,0.959053169
0.8_12_1,0.8,12,1,42%,0,0.579551792,0.579551792,1.159103585,0,1,1,2,14.11272238,0.959053169
1_12_1,1,12,1,50%,0,0.5,0.5,1,0,1,1,2,14.11272238,0.959053169
2_12_1,2,12,1,71%,0,0.292893219,0.292893219,0.585786438,0,1,1,2,14.11272238,0.959053169
3_12_1,3,12,1,79%,0,0.206299474,0.206299474,0.412598948,0,1,1,2,14.11272238,0.959053169
4_12_1,4,12,1,84%,0,0.159103585,0.159103585,0.318207169,0,1,1,2,14.11272238,0.959053169
5_12_1,5,12,1,87%,0,0.129449437,0.129449437,0.258898873,0,1,1,2,14.11272238,0.959053169
6_12_1,6,12,1,89%,0,0.109101282,0.109101282,0.218202564,0,1,1,2,14.11272238,0.959053169
7_12_1,7,12,1,91%,0,0.094276336,0.094276336,0.188552671,0,1,1,2,14.11272238,0.959053169
8_12_1,8,12,1,92%,0,0.082995957,0.082995957,0.165991914,0,1,1,2,14.11272238,0.959053169
9_12_1,9,12,1,93%,0,0.074125288,0.074125288,0.148250575,0,1,1,2,14.11272238,0.959053169
10_12_1,10,12,1,93%,0,0.066967008,0.066967008,0.133934017,0,1,1,2,14.11272238,0.959053169
11_12_1,11,12,1,94%,0,0.061069089,0.061069089,0.122138179,0,1,1,2,14.11272238,0.959053169
12_12_1,12,12,1,94%,0,0.056125687,0.056125687,0.112251375,0,1,1,2,14.11272238,0.959053169
0.3_13_1,0.3,13,1,10%,0,0.900787434,0.900787434,1.801574869,0,1,1,2,15.25933182,0.98532761
0.4_13_1,0.4,13,1,18%,0,0.823223305,0.823223305,1.646446609,0,1,1,2,15.25933182,0.98532761
0.6_13_1,0.6,13,1,31%,0,0.685019738,0.685019738,1.370039475,0,1,1,2,15.25933182,0.98532761
0.8_13_1,0.8,13,1,42%,0,0.579551792,0.579551792,1.159103585,0,1,1,2,15.25933182,0.98532761
1_13_1,1,13,1,50%,0,0.5,0.5,1,0,1,1,2,15.25933182,0.98532761
2_13_1,2,13,1,71%,0,0.292893219,0.292893219,0.585786438,0,1,1,2,15.25933182,0.98532761
3_13_1,3,13,1,79%,0,0.206299474,0.206299474,0.412598948,0,1,1,2,15.25933182,0.98532761
4_13_1,4,13,1,84%,0,0.159103585,0.159103585,0.318207169,0,1,1,2,15.25933182,0.98532761
5_13_1,5,13,1,87%,0,0.129449437,0.129449437,0.258898873,0,1,1,2,15.25933182,0.98532761
6_13_1,6,13,1,89%,0,0.109101282,0.109101282,0.218202564,0,1,1,2,15.25933182,0.98532761
7_13_1,7,13,1,91%,0,0.094276336,0.094276336,0.188552671,0,1,1,2,15.25933182,0.98532761
8_13_1,8,13,1,92%,0,0.082995957,0.082995957,0.165991914,0,1,1,2,15.25933182,0.98532761
9_13_1,9,13,1,93%,0,0.074125288,0.074125288,0.148250575,0,1,1,2,15.25933182,0.98532761
10_13_1,10,13,1,93%,0,0.066967008,0.066967008,0.133934017,0,1,1,2,15.25933182,0.98532761
11_13_1,11,13,1,94%,0,0.061069089,0.061069089,0.122138179,0,1,1,2,15.25933182,0.98532761
12_13_1,12,13,1,94%,0,0.056125687,0.056125687,0.112251375,0,1,1,2,15.25933182,0.98532761
0.3_14_1,0.3,14,1,10%,0,0.900787434,0.900787434,1.801574869,0,1,1,2,16.43740072,0.986025114
0.4_14_1,0.4,14,1,18%,0,0.823223305,0.823223305,1.646446609,0,1,1,2,16.43740072,0.986025114
0.6_14_1,0.6,14,1,31%,0,0.685019738,0.685019738,1.370039475,0,1,1,2,16.43740072,0.986025114
0.8_14_1,0.8,14,1,42%,0,0.579551792,0.579551792,1.159103585,0,1,1,2,16.43740072,0.986025114
1_14_1,1,14,1,50%,0,0.5,0.5,1,0,1,1,2,16.43740072,0.986025114
2_14_1,2,14,1,71%,0,0.292893219,0.292893219,0.585786438,0,1,1,2,16.43740072,0.986025114
3_14_1,3,14,1,79%,0,0.206299474,0.206299474,0.412598948,0,1,1,2,16.43740072,0.986025114
4_14_1,4,14,1,84%,0,0.159103585,0.159103585,0.318207169,0,1,1,2,16.43740072,0.986025114
5_14_1,5,14,1,87%,0,0.129449437,0.129449437,0.258898873,0,1,1,2,16.43740072,0.986025114
6_14_1,6,14,1,89%,0,0.109101282,0.109101282,0.218202564,0,1,1,2,16.43740072,0.986025114
7_14_1,7,14,1,91%,0,0.094276336,0.094276336,0.188552671,0,1,1,2,16.43740072,0.986025114
8_14_1,8,14,1,92%,0,0.082995957,0.082995957,0.165991914,0,1,1,2,16.43740072,0.986025114
9_14_1,9,14,1,93%,0,0.074125288,0.074125288,0.148250575,0,1,1,2,16.43740072,0.986025114
10_14_1,10,14,1,93%,0,0.066967008,0.066967008,0.133934017,0,1,1,2,16.43740072,0.986025114
11_14_1,11,14,1,94%,0,0.061069089,0.061069089,0.122138179,0,1,1,2,16.43740072,0.986025114
12_14_1,12,14,1,94%,0,0.056125687,0.056125687,0.112251375,0,1,1,2,16.43740072,0.986025114
0.3_15_1,0.3,15,1,10%,0,0.900787434,0.900787434,1.801574869,0,1,1,2,17.47208591,0.987748189
0.4_15_1,0.4,15,1,18%,0,0.823223305,0.823223305,1.646446609,0,1,1,2,17.47208591,0.987748189
0.6_15_1,0.6,15,1,31%,0,0.685019738,0.685019738,1.370039475,0,1,1,2,17.47208591,0.987748189
0.8_15_1,0.8,15,1,42%,0,0.579551792,0.579551792,1.159103585,0,1,1,2,17.47208591,0.987748189
1_15_1,1,15,1,50%,0,0.5,0.5,1,0,1,1,2,17.47208591,0.987748189
2_15_1,2,15,1,71%,0,0.292893219,0.292893219,0.585786438,0,1,1,2,17.47208591,0.987748189
3_15_1,3,15,1,79%,0,0.206299474,0.206299474,0.412598948,0,1,1,2,17.47208591,0.987748189
